Device,URL,Performance,Accessibility,Best-practices,SEO,PWA,First Contentful Paint,First Meaningful Paint,Speed Index,Estimated Input Latency,Time to Interactive,First CPU Idle,Eliminate render-blocking resources,Preconnect to required origins,Enable text compression,Server response times are low (TTFB),Defer offscreen images,Serve images in next-gen formats,Efficiently encode images,Properly size images,Minify JavaScript,Preload key requests,Remove unused CSS,Use video formats for animated content,Minify CSS,Minimize main-thread work,Avoid an excessive DOM size,Serve static assets with an efficient cache policy,Reduce JavaScript execution time,Minimize Critical Requests Depth,User Timing marks and measures,All text remains visible during webfont loads,Avoids enormous network payloads
desktop,https://resumegenius.com/how-to-write-a-resume/skills-section-writing-guide,0.78,0.78,0.93,0.9,0.56,2.1 s,2.3 s,4.1 s,30 ms,5.6 s,5.3 s,960 ms (Potential savings of),610 ms (Potential savings of),1,300 ms (Root document took),124 KB (Potential savings of),1,1,170 KB (Potential savings of),1,1,8 KB (Potential savings of),1,1,3.7 s,"2,110 nodes",49 resources found,0.9 s,7 chains found,-1,0,996 KB (Total size was)
desktop,https://resumegenius.com/how-to-write-a-resume,0.78,0.82,0.93,0.9,0.56,2.1 s,2.5 s,4.1 s,80 ms,5.7 s,5.2 s,780 ms (Potential savings of),580 ms (Potential savings of),1,290 ms (Root document took),74 KB (Potential savings of),1,1,23 KB (Potential savings of),1,1,8 KB (Potential savings of),1,1,5.3 s,"3,589 nodes",88 resources found,1.2 s,7 chains found,-1,0,"1,405 KB (Total size was)"
mobile,https://resumegenius.com/how-to-write-a-resume,0.73,0.82,0.93,0.9,0.54,2.5 s,2.5 s,4.5 s,90 ms,5.9 s,5.2 s,220 ms (Potential savings of),620 ms (Potential savings of),1,300 ms (Root document took),191 KB (Potential savings of),52 KB (Potential savings of),1,1,1,1,8 KB (Potential savings of),1,1,5.5 s,"3,589 nodes",86 resources found,1.3 s,7 chains found,-1,0,"1,519 KB (Total size was)"
mobile,https://www.hloom.com/cover-letters/,0.8,0.74,0.93,0.92,0.58,1.9 s,1.9 s,3.3 s,370 ms,5.9 s,5.5 s,440 ms (Potential savings of),440 ms (Potential savings of),1,50 ms (Root document took),9 KB (Potential savings of),1,1,1,1,1,49 KB (Potential savings of),1,1,7.8 s,"3,472 nodes",34 resources found,1.2 s,5 chains found,-1,0,508 KB (Total size was)
mobile,https://resumegenius.com/how-to-write-a-resume,0.8,0.82,0.93,0.9,0.54,2.2 s,2.4 s,3.7 s,30 ms,5.6 s,4.9 s,150 ms (Potential savings of),660 ms (Potential savings of),1,430 ms (Root document took),196 KB (Potential savings of),52 KB (Potential savings of),1,1,1,1,8 KB (Potential savings of),1,1,3.6 s,"3,589 nodes",86 resources found,1.0 s,7 chains found,-1,0,"1,519 KB (Total size was)"
desktop,https://zety.com/resume-examples,0.43,0.76,1,1,0.72,3.4 s,4.8 s,8.4 s,20 ms,7.3 s,7.1 s,1,630 ms (Potential savings of),1,"1,810 ms (Root document took)",1,1,1,1,1,1,4 KB (Potential savings of),1,1,3.0 s,"1,830 nodes",7 resources found,0.8 s,4 chains found,-1,1,394 KB (Total size was)
mobile,https://resumegenius.com/resume-samples,0.3,0.83,0.93,0.95,0.58,4.8 s,4.8 s,10.2 s,40 ms,8.0 s,7.8 s,0 ms (Potential savings of),600 ms (Potential savings of),1,"1,460 ms (Root document took)",3 KB (Potential savings of),1,1,1,1,1,10 KB (Potential savings of),1,1,3.5 s,"2,809 nodes",41 resources found,1.1 s,7 chains found,-1,0,472 KB (Total size was)
desktop,https://resumegenius.com/resume-samples,0.83,0.83,0.93,1,0.56,2.0 s,2.2 s,3.0 s,40 ms,5.4 s,5.1 s,160 ms (Potential savings of),600 ms (Potential savings of),1,270 ms (Root document took),41 KB (Potential savings of),1,1,4 KB (Potential savings of),1,1,9 KB (Potential savings of),1,1,3.4 s,"2,809 nodes",44 resources found,1.0 s,7 chains found,-1,0,505 KB (Total size was)
mobile,https://resumegenius.com/resume-samples,0.81,0.83,0.93,0.95,0.58,2.2 s,2.2 s,3.3 s,30 ms,5.6 s,5.3 s,0 ms (Potential savings of),590 ms (Potential savings of),1,340 ms (Root document took),51 KB (Potential savings of),1,1,1,1,1,10 KB (Potential savings of),1,1,3.1 s,"2,809 nodes",41 resources found,0.9 s,7 chains found,-1,0,472 KB (Total size was)
mobile,https://resumegenius.com/cover-letter-examples,0.84,0.83,0.93,0.95,0.58,2.0 s,2.0 s,3.0 s,30 ms,5.4 s,5.1 s,0 ms (Potential savings of),600 ms (Potential savings of),1,290 ms (Root document took),12 KB (Potential savings of),1,1,1,1,1,10 KB (Potential savings of),1,1,2.6 s,"2,485 nodes",37 resources found,0.8 s,6 chains found,-1,0,412 KB (Total size was)
desktop,https://resumegenius.com/cover-letter-examples,0.84,0.83,0.93,1,0.56,1.9 s,2.0 s,3.0 s,30 ms,5.3 s,5.1 s,0 ms (Potential savings of),620 ms (Potential savings of),1,390 ms (Root document took),7 KB (Potential savings of),1,1,1,1,1,10 KB (Potential savings of),1,1,3.1 s,"2,485 nodes",40 resources found,1.0 s,6 chains found,-1,0,454 KB (Total size was)
desktop,https://www.glassdoor.com/blog/guide/how-to-write-a-cover-letter/,0.4,0.84,0.86,0.9,0.28,2.5 s,3.3 s,7.8 s,980 ms,11.6 s,6.9 s,"1,430 ms (Potential savings of)",700 ms (Potential savings of),1,270 ms (Root document took),502 KB (Potential savings of),573 KB (Potential savings of),343 KB (Potential savings of),6 KB (Potential savings of),1,1,68 KB (Potential savings of),1,1,5.4 s,744 nodes,39 resources found,3.5 s,16 chains found,5 user timings,0,"1,413 KB (Total size was)"
mobile,https://www.glassdoor.com/blog/guide/how-to-write-a-cover-letter/,0.45,0.9,0.86,0.92,0.31,2.7 s,3.2 s,6.3 s,"1,290 ms",11.5 s,6.8 s,"1,600 ms (Potential savings of)",760 ms (Potential savings of),1,260 ms (Root document took),665 KB (Potential savings of),573 KB (Potential savings of),343 KB (Potential savings of),1,1,1,69 KB (Potential savings of),1,1,6.0 s,744 nodes,39 resources found,3.8 s,16 chains found,5 user timings,0,"1,413 KB (Total size was)"
desktop,https://zety.com/blog/how-to-write-a-cover-letter,0.66,0.81,1,1,0.72,1.5 s,3.6 s,3.2 s,10 ms,8.4 s,8.1 s,1,710 ms (Potential savings of),1,150 ms (Root document took),222 KB (Potential savings of),114 KB (Potential savings of),1,126 KB (Potential savings of),1,1,8 KB (Potential savings of),1,1,3.4 s,"1,371 nodes",4 resources found,1.1 s,6 chains found,-1,1,706 KB (Total size was)
desktop,https://resumegenius.com/how-to-write-a-cover-letter,0.76,0.82,0.93,0.9,0.56,2.6 s,2.6 s,3.9 s,60 ms,5.8 s,5.2 s,130 ms (Potential savings of),810 ms (Potential savings of),1,310 ms (Root document took),108 KB (Potential savings of),1,1,138 KB (Potential savings of),1,1,5 KB (Potential savings of),1,1,4.3 s,"4,667 nodes",124 resources found,1.3 s,6 chains found,-1,0,"1,025 KB (Total size was)"
mobile,https://resumegenius.com/how-to-write-a-cover-letter,0.76,0.82,0.93,0.89,0.58,2.5 s,2.5 s,3.9 s,100 ms,5.9 s,5.4 s,80 ms (Potential savings of),810 ms (Potential savings of),1,320 ms (Root document took),123 KB (Potential savings of),45 KB (Potential savings of),1,1,1,1,5 KB (Potential savings of),1,1,4.4 s,"4,667 nodes",122 resources found,1.7 s,6 chains found,-1,0,"1,074 KB (Total size was)"
desktop,https://resumegenius.com/how-to-write-a-cover-letter,0.77,0.82,0.93,0.9,0.56,2.3 s,2.7 s,3.8 s,40 ms,5.8 s,5.4 s,170 ms (Potential savings of),830 ms (Potential savings of),1,320 ms (Root document took),115 KB (Potential savings of),1,1,138 KB (Potential savings of),1,1,5 KB (Potential savings of),1,1,4.2 s,"4,667 nodes",124 resources found,1.2 s,6 chains found,-1,0,"1,025 KB (Total size was)"
mobile,https://resumegenius.com/how-to-write-a-cover-letter,0.79,0.82,0.93,0.89,0.58,2.2 s,2.4 s,3.9 s,40 ms,5.6 s,5.0 s,150 ms (Potential savings of),630 ms (Potential savings of),1,820 ms (Root document took),123 KB (Potential savings of),45 KB (Potential savings of),1,1,1,1,5 KB (Potential savings of),1,1,3.7 s,"4,667 nodes",122 resources found,1.2 s,6 chains found,-1,0,"1,073 KB (Total size was)"
